,timestamp,High
0,2004-08-19,40.47999954223633
1,2004-08-20,39.90999984741211
2,2004-08-21,39.90999984741211
3,2004-08-22,39.90999984741211
4,2004-08-23,40.0
5,2004-08-24,39.93000030517578
6,2004-08-25,40.4900016784668
7,2004-08-26,40.83000183105469
8,2004-08-27,40.38999938964844
9,2004-08-28,40.38999938964844
10,2004-08-29,40.38999938964844
11,2004-08-30,39.95000076293945
12,2004-08-31,38.849998474121094
13,2004-09-01,39.0099983215332
14,2004-09-02,39.63999938964844
15,2004-09-03,40.0099983215332
16,2004-09-04,40.0099983215332
17,2004-09-05,40.0099983215332
18,2004-09-06,40.0099983215332
19,2004-09-07,39.36000061035156
20,2004-09-08,38.810001373291016
21,2004-09-09,38.310001373291016
22,2004-09-10,38.79999923706055
23,2004-09-11,38.79999923706055
24,2004-09-12,38.79999923706055
25,2004-09-13,40.040000915527344
26,2004-09-14,42.75
27,2004-09-15,43.18000030517578
28,2004-09-16,44.27999877929688
29,2004-09-17,43.2599983215332
30,2004-09-18,43.2599983215332
31,2004-09-19,43.2599983215332
32,2004-09-20,43.9900016784668
33,2004-09-21,43.77000045776367
34,2004-09-22,43.2400016784668
35,2004-09-23,42.20000076293945
36,2004-09-24,41.90999984741211
37,2004-09-25,41.90999984741211
38,2004-09-26,41.90999984741211
39,2004-09-27,41.0099983215332
40,2004-09-28,40.33000183105469
41,2004-09-29,40.91999816894531
42,2004-09-30,41.27999877929688
43,2004-10-01,41.29999923706055
44,2004-10-02,41.29999923706055
45,2004-10-03,41.29999923706055
46,2004-10-04,41.68000030517578
47,2004-10-05,41.25
48,2004-10-06,41.40999984741211
49,2004-10-07,42.70000076293945
50,2004-10-08,41.18999862670898
51,2004-10-09,41.18999862670898
52,2004-10-10,41.18999862670898
53,2004-10-11,40.75
54,2004-10-12,40.58000183105469
55,2004-10-13,41.54999923706055
56,2004-10-14,39.54999923706055
57,2004-10-15,39.66999816894531
58,2004-10-16,39.66999816894531
59,2004-10-17,39.66999816894531
60,2004-10-18,39.47000122070313
61,2004-10-19,39.849998474121094
62,2004-10-20,38.59000015258789
63,2004-10-21,40.18999862670898
64,2004-10-22,36.79999923706055
65,2004-10-23,36.79999923706055
66,2004-10-24,36.79999923706055
67,2004-10-25,34.40999984741211
68,2004-10-26,34.259998321533196
69,2004-10-27,34.630001068115234
70,2004-10-28,34.77000045776367
71,2004-10-29,34.450000762939446
72,2004-10-30,34.450000762939446
73,2004-10-31,34.450000762939446
74,2004-11-01,35.150001525878906
75,2004-11-02,36.4900016784668
76,2004-11-03,37.61999893188477
77,2004-11-04,37.290000915527344
78,2004-11-05,37.38999938964844
79,2004-11-06,37.38999938964844
80,2004-11-07,37.38999938964844
81,2004-11-08,37.58000183105469
82,2004-11-09,37.810001373291016
83,2004-11-10,38.84000015258789
84,2004-11-11,39.0
85,2004-11-12,40.93999862670898
86,2004-11-13,40.93999862670898
87,2004-11-14,40.93999862670898
88,2004-11-15,41.5
89,2004-11-16,40.65999984741211
90,2004-11-17,40.59000015258789
91,2004-11-18,40.959999084472656
92,2004-11-19,39.43999862670898
93,2004-11-20,39.43999862670898
94,2004-11-21,39.43999862670898
95,2004-11-22,38.52999877929688
96,2004-11-23,39.68000030517578
97,2004-11-24,39.15999984741211
98,2004-11-25,39.15999984741211
99,2004-11-26,39.34000015258789
100,2004-11-27,39.34000015258789
101,2004-11-28,39.34000015258789
102,2004-11-29,39.61999893188477
103,2004-11-30,39.79999923706055
104,2004-12-01,40.0
105,2004-12-02,40.7400016784668
106,2004-12-03,40.459999084472656
107,2004-12-04,40.459999084472656
108,2004-12-05,40.459999084472656
109,2004-12-06,39.97999954223633
110,2004-12-07,39.75
111,2004-12-08,39.099998474121094
112,2004-12-09,39.95000076293945
113,2004-12-10,40.099998474121094
114,2004-12-11,40.099998474121094
115,2004-12-12,40.099998474121094
116,2004-12-13,40.27999877929688
117,2004-12-14,40.47000122070313
118,2004-12-15,41.0
119,2004-12-16,41.0
120,2004-12-17,40.22000122070313
121,2004-12-18,40.22000122070313
122,2004-12-19,40.22000122070313
123,2004-12-20,40.4900016784668
124,2004-12-21,39.41999816894531
125,2004-12-22,39.59000015258789
126,2004-12-23,39.52000045776367
127,2004-12-24,39.52000045776367
128,2004-12-25,39.52000045776367
129,2004-12-26,39.52000045776367
130,2004-12-27,42.93000030517578
131,2004-12-28,45.11999893188477
132,2004-12-29,45.68000030517578
133,2004-12-30,45.52999877929688
134,2004-12-31,45.4900016784668
135,2005-01-01,45.4900016784668
136,2005-01-02,45.4900016784668
137,2005-01-03,45.43999862670898
138,2005-01-04,43.2599983215332
139,2005-01-05,42.7599983215332
140,2005-01-06,42.25
141,2005-01-07,42.68999862670898
142,2005-01-08,42.68999862670898
143,2005-01-09,42.68999862670898
144,2005-01-10,42.959999084472656
145,2005-01-11,42.15999984741211
146,2005-01-12,42.47999954223633
147,2005-01-13,44.58000183105469
148,2005-01-14,44.65999984741211
149,2005-01-15,44.65999984741211
150,2005-01-16,44.65999984741211
151,2005-01-17,44.65999984741211
152,2005-01-18,45.0
153,2005-01-19,44.7400016784668
154,2005-01-20,43.959999084472656
155,2005-01-21,42.54999923706055
156,2005-01-22,42.54999923706055
157,2005-01-23,42.54999923706055
158,2005-01-24,41.95000076293945
159,2005-01-25,41.43999862670898
160,2005-01-26,41.79999923706055
161,2005-01-27,42.400001525878906
162,2005-01-28,43.0
163,2005-01-29,43.0
164,2005-01-30,43.0
165,2005-01-31,43.41999816894531
166,2005-02-01,43.27000045776367
